Date,Actual,Predicted,Residual
2024-08-19,74.37000274658203,76.5183,-2.1483001708984375
2024-08-26,77.41999816894531,73.86004,3.5599594116210938
2024-09-02,73.55000305175781,76.38745,-2.8374481201171875
2024-09-09,68.70999908447266,70.3826,-1.6725997924804688
2024-09-16,70.08999633789062,69.06963,1.0203628540039062
2024-09-23,70.37000274658203,67.59329,2.7767105102539062
2024-09-30,68.16999816894531,65.7816,2.388397216796875
2024-10-07,77.13999938964844,74.4537,2.6863021850585938
2024-10-14,73.83000183105469,74.9909,-1.1608963012695312
2024-10-21,70.55999755859375,69.69094,0.8690567016601562
2024-10-28,67.37999725341797,68.613335,-1.23333740234375
2024-11-04,71.47000122070312,66.16254,5.307464599609375
2024-11-11,68.04000091552734,66.65426,1.3857421875
2024-11-18,69.16000366210938,67.956314,1.2036895751953125
2024-11-25,68.94000244140625,66.707214,2.2327880859375
2024-12-02,68.0999984741211,68.37031,-0.2703094482421875
2024-12-09,68.37000274658203,67.29612,1.073883056640625
2024-12-16,70.70999908447266,67.47187,3.238128662109375
2024-12-23,69.23999786376953,65.81176,3.4282379150390625
2024-12-30,70.98999786376953,69.91528,1.0747146606445312
